0,Quinate
1,Dopamine
2,Asparagine
3,Threonine
4,Threonate
5,Glycerate-3-phosphate
6,Citrate
7,Phenylalanine
8,Succinate
9,Aconitate
10,Caffeoyl-4-quinate
11,Fructose
12,Glucose
13,Pyroglutamate
14,Sucrose
15,Galactinol
16,Glucose-6-phosphate
17,Glutamate
18,Caffeoyl-3-quinate
19,Glycerol-3-phosphate
20,Fumarate
21,Caffeate
22,Phosphoric acid
23,Myo-Inositol
24,Itaconate
25,Raffinose
26,Fructose-6-phosphate
27,Caffeoyl-5-quinate
28,Ferulate
29,2-oxo-Glutarate
30,Glycine
31,Alanine
32,Aspartate
33,Serine
34,Malate
35,Galactarate
36,Glycerate
37,Valine
38,4-OH-Cinnamate
39,Putrescine
40,GABA
41,Beta-Alanine
42,Ribonate
43,Nitrate reductase
44,Citrate synthase
45,Glutamine synthase
46,NAD-glutamate dehydrogenase
47,Alanine aminotransferase
48,ADP-glucose pyrophosphorylase
49,Shikimate dehydrogenase
50,Ferredoxin-glutamate synthase
51,Aldolase
52,Fumarase
53,Glucose-6P dehydrogenase
54,NAD-isocitrate dehydrogenase
55,Phosphoglucomutase
